Category,Subcategory,Text
Payment,Make Payment,Payment of HOA dues Shannon called to make a payment for her HOA dues. 
Maintenance,Plumbing,"Active Water Leak Teresa Luengo at the property 12526 SE 32nd Street #31, Bellevue, WA 98005 is reporting that the unit on the east side of her unit is leaking water and causing her unit to flood and casing the property to flood. The caller stated she doesn't want to get a call back and also declined to provide her email. "
Resale Certificate,Resale Certificate,"Error need help She called to inform that there is an error on the resale certificate she received. Association had a special assessment, she paid in full for that in 2016 but the resale certificate shows that she still has to pay that. Also, there are no pet restrictions like such mentioned on the resale certificate as 25 pounds weight limit and 2 animals per unit limit. As she checked, all other properties sold recently have no restrictions on their resale certificate. She needs a copy of ledger and a statement from us to show to her agent as a proof that she made the payment for $48,180.25 also the updated resale certificate. "
Payment,ACH Setup,SVT5130B00 - Payment Wanted to know whether we have received her ACH form and when will be be processing the September dues. 
Payment,Question,"HOA Notice Sophan Som at the property 12524 278 St Kent, Wa 98030 needs to speak with Cantera Association regarding fees. "
Payment,Delinquency Letter,WDS5007100 - Delinquency letter - HOA Dues. Niloy Sen would like to update information as well as making his HOA Payment.   
Payment,Question,CRA0001500 - Make a payment Emily at 27831 124 th place SE called in for a second time to make a payment. She can also be reached at 
Payment,Question,SVT5135C00 - Payment questions Sean called in as he had questions regarding his HOA dues. 
Payment,Coupon Book,WDS1003300 - Needs new coupon book She is requesting for new coupon books 
Payment,Coupon Book,FRI0011500 - Coupon Book He lost coupon book for the month of December. He wanted to know if we can provide another one or the information as to where to send payments. 
Payment,Delinquency Letter,"WDS3009100 - Delinquency Letter Caller received an email stating she owes $60.00 but she    
is on auto pay and would like to know what the balance is. "
Payment,Coupon Book,"FRI-Lot # 115 - Lost coupon book was found. Mikael Backman recently requested to have a coupon book mailed to him. However, he has located the book and no longer needs one sent. "
Payment,Make Payment,"SVT5123C00 - HOA & Water damage Marlena Maliszewski  
     
marlena.smaski@comcast.net       

Caller needs to make HOA payment online and needs assistance. Caller also needs help with a water damage claim. "
Maintenance,Landscaping,"5130 Browns Pt Blvd Unit D - Landscaping  Dear Propvivo, 
Thank you for the recent letter regarding the dog poop remains in the way of the landscapers.
We will make sure in the future the remains are picked up immediately. 

You may not be aware of this, however, the landscaping crew has been quite reckless on the yards and damaged fences along with tearing up the sod. The small dog dropping I missed while they aren’t mowing my yard for a few weeks due to their damage was not as much of a concern to me at this time when they created a mud pit of the front yard.
I’ve included pictures of the damage they had done to our yard in particular.
Fortunately, the company I work for hires this firm to do some of our land development sites. I know the ownership group and got them to come over and make necessary repairs to the damage they made on my yard. 
Again, I’ll make sure poop is picked up quickly. In the big picture of this all, we simply got distracted to the big mess they created, as I hope you can understand. 
Best regards, 
Shanna Keene & Russ Sorkness    "
Maintenance,Landscaping,"Fwd: 5130 Browns Pt Blvd Unit D - Landscaping  Sorry , here are the pictures. [cid:0DD370C3-626D-4CF2-9464-478EBC19E566]    "
Maintenance,Landscaping,"RE: 5130 Browns Pt Blvd Unit D - Landscaping  Dear Russ & Shanna,

We Thank You for your prompt attention into this matter and regret the inconvenience caused to you because of the landscapers.

We appreciate your prompt attention in helping us maintain the aesthetic appearance of the association. We will reach out to the landscapers from our end as well and share with them your concerns and ensure this is not repeated in the near future.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
propVIVO
[propvivo logo]
    "
Other,Other,"File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email 




File No.: 4244 3645595

Buyer: Amanda Arizala and Oswaldo Arizala

Seller: Xiaoqiu Huang

Property Address: 12526 SE 32nd St Unit 32, Bellevue, WA 98005


You can download Acrobat Reader at message may contain confidential or proprietary information intended only for the use of the addressee(s) named above or may contain information that is legally privileged.
If you are not the intended addressee, or the person responsible for delivering it to the intended addressee, you are hereby notified that reading, disseminating, distributing or copying this message is strictly prohibited.
If you have received this message by mistake, please immediately notify us by replying to the message and delete the original message and any copies immediately thereafter.

If you received this email as a commercial message and would like to opt out of future commercial messages, please let us know and we will remove you from our distribution list.

Thank you.
******************************************************************************************
FAFLD
    "
Payment,Question,"RE: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hi,

Can you please confirm if this a Rush Delivery or Normal Delivery?


The turnaround time for Rush Delivery is 24-36 hours @ $100
The turnaround time for Normal delivery is 3-5 business days at no extra cost

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
propVIVO
[propvivo logo]
    "
HOA Demand Request,Documents,"RE: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hi,

Please find attached the demand statement.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
propVIVO
[cid:image001.png@01D6FA0C.DC670960]
    "
Payment,Late Fees,"Re: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hello,

We have received the payout for this transaction from your office, but it does not include the $600 for Move-In/Out fees. Can you tell us why it was not sent? This needs to be collected with closing.


Kindly let us know if you have any questions. You can reach us at or call us at &    "
Payment,Late Fees,"Re: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hello,

Following up on below email for Move in/Move Out Fees.


Kindly let us know if you have any questions. You can reach us at or call us at & Regards

propVIVO

[cid:ccd4eefb-a82f-4673-8db3-73942707b5d6]
    "
Information,Other,"Re: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hi,

We hope you are doing well!

Request you to please confirm that File # is closed or still open?? Can we have the actual closing date if it is closed?

Also please share Buyer information with us (Name, Contact No., Email Id, Mailing address)


Kindly let us know if you have any questions. You can reach us at or call us at & Regards

Jessica

propVIVO

[cid:0246c6cc-e1b2-4365-b312-961f8df750fa]
    "
Information,Other,"Re: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hi,

Is this closed?

Please share Buyer information with us (Name, Contact No., Email Id, Mailing address)



Kindly let us know if you have any questions. You can reach us at or call us at & Regards

propVIVO

[cid:82755d93-1259-4493-b84e-d9d009fed4d9]
    "
Information,Other,"Re: Automatic reply:   File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Hi,

Please confirm, this file is closed or still open?
If closed, then please provide buyer's detail.


Kindly let us know if you have any questions. You can reach us at or call us at &    "
Other,Other,"RE: Automatic reply:   File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email 1. Oswaldo Arizala - oswariza@gmail.com
2. Amanda Arizala - date was Feb 16th, 2021

mailing address: 441 155th Ave SE Bellevue WA 98007

Sara, I asked you to update the system but you haven’t. And owner called again today.

Kindly let us know if you have any questions.

Thanks & Regards
Richa
[cid:image003.png@01D705F4.05830270]
    "
Information,Other,"Re: Automatic reply:   File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Team,

Updated in:

CB
[cid:75cfdb52-17e7-48e4-9a72-184d70a3a55e]

Address Sheet
[cid:a891602f-17c7-4816-b7e1-04d600bed95d]

Delinquency sheet
[cid:e80eee0b-31a4-4d7b-9063-6a942b5fc3df]

User detail
[cid:1856f488-5b60-492f-828d-6b2699a9b93c]

Dealy reply due to system issue.

Thank you,
Jessica
    "
Information,Other,"Re: File Number-3645595-Address-12526 SE 32nd St Unit 32 (Email Added to COC sheet

[cid:1d7d9d63-640c-4f10-92c8-fde5d1d96174]

Thank You,
Jessica
    "
Maintenance,Fence,"Fence Repair- Kendall Ridge HOA Hi Josh,

Good Morning!

We manage Kendall Ridge HOA.

Address: 13208 SE 306th St Auburn, WA 98092.

We are looking to get an estimate to repair the fence by the playground.

Please find the attached images for reference.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Kyle Benjamin
PropVIVO
[propvivo logo]

    "
Violations,Reported,"Landscaping Violation for 17008 woodside dr se, Renton, 98058 Hi,
Last Friday, I received a email saying a violation is reported. I also called you guys to finger that out. We fixed it and even power wash the concrete. The attached is the  corrected pictures. Please let me know if  the fine is gonna be waived. Please take a look. Please feel free to contact me address; 17008 woodside DR SE, Renton, Wa, 98058.
[cid:ae2732b2-d9da-4378-9806-2f09deed8de5@namprd20.prod.outlook.com]    "
Violations,Violation,"FW: Landscaping Violation for 17008 woodside dr se, Renton, 98058 Hi Anna,

Please let me know if we can waive this fine.
Date of letter
Account No.
Owner
Reason of Letter
Amount
Occurrence
Reported By
10/1/2019
WDS1006801
Zhuzhu Lu
Landscaping/Lawn Maintenance
$25.00
2nd
Inspection Report - September 23rd, 2019
7/23/2019
WDS1006801
Zhuzhu Lu
Landscaping - Dead or dying tree
$0.00
1st
15th July, 2019 Inspection Report
6/22/2019
WDS1006801
Zhuzhu Lu
Trash Cans
$0.00
1st
10th June, 2019 Inspection Report


Thanks & Regards
Richa
[propvivo logo]
    "
Violations,Violation,"Re: Landscaping Violation for 17008 woodside dr se, Renton, 98058 Yes, please thank him and rescind the violation and the fine.




Thank you!



Anna
    "
Violations,Violation,"FW: Landscaping Violation for 17008 woodside dr se, Renton, 98058 Please waive off the violation fine.
    "
Violations,Violation,"RE: Landscaping Violation for 17008 woodside dr se, Renton, 98058 Hi Team,

The details have been added to the violation reports, portal and fine status tab –

[cid:image002.png@01D57EBC.AAB18610]
[cid:image001.png@01D57EBC.BB3FF520]

Thanks
Sean
    "
Violations,Violation,"RE: Landscaping Violation for 17008 woodside dr se, Renton, 98058 Hi,

Thank you for reaching out to us.

We really appreciate your prompt attention in correcting the violation. Due to the fact that you put in an effort, and eventually addressed the issue, We waive off the fine imposed due to this letter.

Have a nice day.

Thanks & Regards
PropVIVO
[propvivo logo]
    "
Insurance,Claim,"FW: Sammamish Cottages COA - 21/22 Renewal Policy 

From: amol patil <amolpatil86@gmail.com>
Sent: Thursday, March 18, 2021 9:35 PM
To: Invoices <invoices@propvivo.com>
Cc: board@sammamishcottages.com; Nitin Dixit <nitin@propvivo.com>
Subject: Re: Sammamish Cottages COA - 21/22 Renewal Policy

Hi Propvivo team,

Premium of this insurance policy looks higher. Could you please check if we can get a better rate from another provider.
I already raised a request for the same long back but no update on that yet.

Thanks,
Amol Patil


On Thu, Mar 18, 2021 at 9:00 AM Kassi Johnson wrote:

Re: Business Owners Policy – Mutual of Enumclaw Insurance Company - Policy No. BOP 0018683 02



Hello,



Attached please find the above referenced renewal policy for Sammamish Cottages COA issued for the annual term of April 18, 2021 to April 18, 2022.



The policy was issued with the same limits as your prior term; the General Liability limits remain at 1,000,000 per occurrence and 2,000,000 general aggregate. The Property coverage has been issued with a blanket building limit of $316,963.



The annual premium for this term is $2,549.00; Mutual of Enumclaw will continue to bill you directly.


Please refer to the policy forms for complete coverage details, policy terms, conditions, limitations and exclusions that apply.

Let me know if you have any questions or need anything further.

Thank you,

Kassi Johnson
Account Representative - Commercial Lines

AssuredPartners of Washington, LLC
DBA: Redmond General Insurance Agency
PO Box 847 ● Redmond, WA 98073
P     F  This e-mail contains privileged and confidential information intended only for the person or entity to which it is addressed.  Any review, transmission, dissemination, copy or other use of, or taking any action in reliance upon this information by persons or entities other than the intended recipient is prohibited.  If you received this message in error, please notify the sender immediately by e-mail, facsimile or telephone and thereafter delete the material from your computer.

    "
Documents,Governing Documents,"Completed: AAA Fire Protection Central Station Monitoring Agreement for 6501 Lake Washington Blvd. document has been completed
VIEW COMPLETED DOCUMENT parties have completed AAA Fire Protection Central Station Monitoring Agreement for 6501 Lake Washington Blvd..

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
055E49BC230B41C0A83669DBB04E55B37

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by Gabe who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Maintenance,Lock,"Palomino lock box code. Hi All,

We were given the code (1604) to get into the lock box to get the key to take care of irrigation. And after long, last we got in but today the code would not work. Is there a chance the code got changed?  We need access one last time of the season to complete the winterization (compressed air blowout).  Please advise on new code.
Thank you,
Client Services | Service and Operations Support
Monarch Landscape Companies
Committed to Be the Best Place to Work as a Landscape Professional
7627 W. Bostian Road, Woodinville, WA 98072
Cell Main: | clientserviceswano2@monarchlandscape.com
[cid:image001.jpg@01D588E4.E4D9AED0]

    "
Maintenance,Lock,"RE: Palomino lock box code. Hi Carla,

Apologies for the inconvenience caused.

The lockbox code was changed and we were unaware about. The new code is 1704.

Please make a note for it for future reference.

Kindly let us know if you have any questions. You can reach us at or call us at logo]
    "
Maintenance,Other,"Re: Palomino lock box code. Thank you for the update, we will add this to our records.


Tommy Boyle CTC, LIC | Area Manager

Monarch Landscape Companies

Committed to Be the Best Place to Work as a Landscape Professional

7627 W. Bostian Rd, Woodinville, WA 98072

Cell: (425) 754-2409 | tommy@nlswa.com

[cid:769b7ad9-eaeb-4150-b602-c41d66c61202]
    "
Maintenance,Dryer Vent Cleaning,"Dryer vent cleaning- Estimate Request Hi Carla,

It was nice talking to you!

As discussed, we are looking for estimate for two association that we manage.


  1.  Seaview Terrace Townhouse Condominium Owners Association: 5141 Green Hills Ave NE, Tacoma, WA 98422. Units- #48
  2.  Channel Place Community Club- 12532 SE 32nd St, Bellevue, WA 98005. Unit- #40.

Please share two separate estimates under the name of:

Seaview Terrace Townhouse Condominium Owners Association c/o PropVIVO Inc.
Channel Place Community Club c/o PropVIVO Inc.

Kindly let us know if you have any questions. You can reach us at or call us at logo]
    "
Maintenance,Dryer Vent Cleaning,"Re: Dryer vent cleaning- Estimate Request Thank you for reaching out to our company. Attached are the 2 estimates requested. Please review them and let me know if you have any questions. We look forward to working with you.

Thank you,
Karla Roberts
Ventflow Services
    "
Approval,Invoice,"Letterstream Order Confirmation - SRH March 2021 Annual Meeting Notice - Propvivo Confirmation

Thank you for using LetterStream!

We received the following job:

Job Name: SRH March 2021 Annual Meeting Notice - Propvivo

Job ID: Type: _Windowed Letter (1stclass)

Received: March 18, 2021

Quantity: 1

Mailing Method: First-Class

Status: deletes done - waiting for printing

Inserts requested:
4 sheets 8.5x11 20 lb Plain White Simplex **COLOR**
1 sheet #10 Double Window Secure Outer Envelope (FC) Simplex Black

You will receive one more email after the job has been mailed.

At any time you may check the status of this job at the LetterStream website.

If this information is not accurate, please contact LetterStream at or email the LetterStream Production Department at again, thank you for your order.


LetterStream Production




LetterStream -- Copyright 2021 --    "
HOA Demand Request,Additional Questions,"Pending HOA Request for Palomino at Redford Ranch Condominiums October 10, 2019 Hello,

We would like to check the status of the HOA statement requested for the following;

Date Ordered
File at Redford Ranch Condominiums
1200 228th Ave SE Unit 3
Arshia Komasi and Marjan Nouri


Thank you

Payoff Team
First American Title

******************************************************************************************
This message may contain confidential or proprietary information intended only for the use of the
addressee(s) named above or may contain information that is legally privileged. If you are
not the intended addressee, or the person responsible for delivering it to the intended addressee,
you are hereby notified that reading, disseminating, distributing or copying this message is strictly
prohibited. If you have received this message by mistake, please immediately notify us by
replying to the message and delete the original message and any copies immediately thereafter.

If you received this email as a commercial message and would like to opt out of future commercial
messages, please let us know and we will remove you from our distribution list.

Thank you.~
******************************************************************************************
FAFLD
    "
HOA Demand Request,Information,"RE: Pending HOA Request for Palomino at Redford Ranch Condominiums October 10, 2019 Dear Arjay,

Apologies for the delay!

We would like to inform you that the property address on the demand statement is incorrect. Please share the updated demand statement with the correct property address.

Once we receive the updated demand statement, we will send it back asap.

Kindly let us know if you have any questions. You can reach us at or call us at logo]
    "
Other,Other,"Delivery failure Message from yahoo.com.
Unable to deliver message to the following address(es).

<unedom@yahoo.com>:
Sorry, your message to cannot be delivered. This mailbox is disabled (554.30).

--- Original message follows.

The original message is over 5K. Message truncated.

Return-Path: <services@propvivo.com>
Authentication-Results: mta4181.mail.bf1.yahoo.com; 
 dkim=pass (ok) header.i=@propvivo.onmicrosoft.com header.s=selector2-propvivo-onmicrosoft-com;
 spf=pass smtp.mailfrom=@propvivo.com;
 dmarc=NULL(p=NULL sp=NULL dis=NULL) header.from=propvivo.com;
Received-SPF: pass (domain of propvivo.com designates 40.107.76.50 as permitted sender)
X-YMailISG: QALhKNQWLDtwiYyx4FeIb5agqkyD.5D98qv8GjT3oM4IIJXK
 OwxA5Y57draayPeYq2TjCAoQ_XZAcvQhTt6Z49H3vwBL.PD0OrybykzKj9vw
 aqGPrt4a9UBj31M8zqT5UWflq7LA2BhYRIdlmIqUgzSFjRtgKxoMWWjRu8O8
 qOxn1rR2VUCCDmDRnG8SK2QN7WS_QRWGtGYsfI0nWf3XFEpK6J_KSIvjDJ6L
 rZ2hUsZw6XW_PYvtHwreH0S25GC64dqb_ny6F5lak0i6qsvRQ.CrXUmV5xS_
 nxX0xBcwlx21lvVYBXwR3FEVAlmii4Q1H7K9R7AoQg33sFKlY3XgbWB6pV2r
 Tnl.ETgIra_UZ0tc1VbX6Zlw18ieH9o0Wg7SRH6J3TGNGnTWRsPtvMNpcA.o
 e34woqUbde.saH.Fon5S7Md5d.tHm_UhYN_9JXmtNiO4Zw17pLi3TGCj929f
 IPahtGrN0LMKj8LWNoopBL6AFrFyySY7AZssORtl6zpHg5_6xJv7aAmGTXex
 rJpykHAf545skamHvlSWj75gT2AQIR4_UPARmxTwxaT3.4V.XqwZy7.KGaUl
 9HdjJDlnpYQFSjwVcd4RAQQkclWKxzyPSF5F6GBM5um.C.sxr2YpDgCUUffh
 5v.8FBAdEyJp5CM2gKLn9mIp45B2s72jEam4V.q3fhC1ZKNkZn.QJCfHMRWt
 f98WO90UvGRVI29Sj_M6TAsSLV_G1TOyJ__431vvF7FWVekkstCO6C4jNM5v
 fhpP3zKaLfa1L45L5OgxURH83J3zYy.a32RyJOkgFHFYCVQdJ6e0pb.etX6v
 vZlLvY76scjh69OibEtg_1_QdEMTmr8dfEuIcPfk_fJqzlrh8Z3Qh1mqSCGd
 j0NzzK1_HNeYQY2IKhmXfa_NSFRhD3dh9FRJohs68g9gh2ARa71JqvhyNZbb
 F3q24QB7X.cAofgGqLxuzqwUuYkGcrtlA2ALj_gnBzOxVMUPSV7E8DM_FKhx
 malRi0CYUckd3kBUxMRUOo_Qh9y8C1ke0p8ZxqxoPF61Tz7GDbmH_000PTpw
 V71BWGLf5BGo3Czly9tqpAwvMXwG7lJkvGKUYED8eEXaPW0hJ7JHOZucZGZs
 1KUA6Eehcx2hk7PchBul3z95lza9sG6NmTQhbFy9CQ7ooTPwwP7Sn4yubyRj
 Z9bUQIv8jI7.B55BfF4qSvvfiXNbz7JfzKbZKocUSvSGaSgO453FkF1eqWik
 8Bi9DbmiWtweSU585mT5Qw--
X-Originating-IP: [40.107.76.50]
Received: from 10.197.39.200  (EHLO NAM02-CY1-obe.outbound.protection.outlook.com) (40.107.76.50)
  by mta4181.mail.bf1.yahoo.com with SMTPS; Tue, 29 Oct 2019 21:28:22 +0000
ARC-Seal: i=1; a=rsa-sha256; s=arcselector9901; d=microsoft.com; cv=none;
 b=NbqEr2gtPi10I/J0tQ0ksQa/imIZOz5QR66pwSLRpGSq4kWWlCi9411qm1kBRy6FxujUQmyQyVpGNI0bNaMiYcgWvZSNCsqK7jlYwyQbNPWVKAUO6LE6J9Sr4CgEelzttd/6gjECRiJP6gdOICN0jmlxE1uk/cG+oqjTpQSp5aEbaQs/34VgsbOBB3onaS4BpX5OEGDk9m1U8J5xKHO7os0dSNhhYEFEdPEZe0iImtbeWDf5t8VUHIqpIym5NFvbC6SQReMwaORviFWA9QALH9tWn8JA4CuwUt/ns/Rkyyy8p1aFk+r56A2xyPx+4VJnw7ww9fcQ4MGjgnQ0cU6KQQ==
ARC-Message-Signature: i=1; a=rsa-sha256; c=relaxed/relaxed; d=microsoft.com;
 s=arcselector9901;
 h=From:Date:Subject:Message-ID:Content-Type:MIME-Version:X-MS-Exchange-SenderADCheck;
 bh=Vd2agZ0TH9xBkFgpn2cuA2cDTSehAG5BJ+OPbo5LWRQ=;
 b=Zy4L34QUblTPPgicTUC708Swqnds7WqQePraxtu8Dk5TlSychEn7lCkwcz/QS0Tv1GEHE35TDzUMxQeqfo+SwfVkGLcUm28X6XrBKTpR452cFTdKR2u0yQOBsc0BlKETAjd4P5Q566XxauKryeVct1pwesEvHFO0c2TomXRhraQG/OXzb7QrlbgQhezdDavv0cfy6UpbINDGt1IB2U1aKhwQRWOUrHk1rr7ukoZY/zu+UGTys9uCj085+GedcwIu6Y4dC9SmIuhGP8cA2OQUcaIVizWgsE2PcfET+3aGwC0paffpWwnFzsK626gZFR+REOa5hLAlCxnROqYTR7jzAQ==
ARC-Authe
*** MESSAGE TRUNCATED ***


.
    "
Approval,Invoice,"Letterstream Order Confirmation - SVT5135C01 Welcome Kit and CB Confirmation

Thank you for using LetterStream!

We received the following job:

Job Name: SVT5135C01 Welcome Kit and CB

Job ID: Type: _Express Coupon Sheets

Received: March 17, 2021

Quantity: 1

Mailing Method: First-Class

Status: deletes done - waiting for printing

Inserts requested:
3 sheets 8.5x11 20 lb Plain White Simplex **COLOR**
1 sheet 8.5x11 20 lb Plain White Simplex **COLOR**
9 sheets #6 3/4 Return (Left Window Secure) Simplex Black

You will receive one more email after the job has been mailed.

At any time you may check the status of this job at the LetterStream website.

If this information is not accurate, please contact LetterStream at or email the LetterStream Production Department at again, thank you for your order.


LetterStream Production




LetterStream -- Copyright 2021 --    "
Other,Other,"Wide Area Networking Research Pays: Area Networking Research

Pays: Benson Research is conducting a wide area networking research study for males and females Nationwide. Those who qualify will participate in a 90-minute online focus group on Tuesday, October 22nd or Thursday, October 24th. Everyone who qualifies and participates will receive an honorarium of  $300 for their time and feedback.

To see if you qualify for this study, please fill out the survey in the link below. One of our representatives will contact you if it appears you will qualify based on the answers you provide.

If you know of someone who enjoys sharing their opinions and think they may be interested in participating, in this particular market research study, please forward this email.

Thank you!

Survey Link (Click CONNECTED:
[Like us on Benson, 1226 H Street, Sacramento, CA 95814
SafeUnsubscribe™ this | Update | About our service by in collaboration with
[Constant email marketing for free    "
Governing Documents,Amendments,"Seaview Terrace: Consent to Fifth Amendment 2021 Customer Service sent you a copy.
REVIEW DOCUMENTS Customer Service
onlineaccounts@propvivo.com

Dear Homeowners,

The Seaview Terrace Townhouses Condominium Owners Association had a townhall meeting on July 15th, 2020. The purpose of this meeting was to discuss amending the governing documents as the current governing documents are outdated and need to be brought in compliance with the State of Washington RCW.

During this meeting an important item that was discussed was the ability to amend the governing document. The usual threshold for approval of Declaration amendment is 67%. However the current association original Declaration was written with a provision of 80%.

Before the association embark on the journey to amend the governing document, it is wise to update the provision so that the Declaration amendment can be done with 67%.

We are enclosing the Fifth amendment to Declaration and Covenants that will provide us the ability to amend the future Declaration with 67%.

We request your help to sign and return the “Consent Form”.

If you have any questions, please do not hesitate to contact propVIVO at (888) 392-3515 or email us at  services@propvivo.com.

Sincerely,

Seaview Terrace Townhouses Condominium Owners Association
Board of Directors

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
92361A96257C45A0A30F0CA6C28FD5AD3

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Discussion,Easement,"Sammamish Shores We have another project on hold waiting paperwork, so we are going to move Unit #7 up to next week. We will need access to the interior and exterior. If you want we can provide a key box so that the homeowner doesn’t need to be there every day. Just let us know what works best for everyone involved.

Thank-you,

Tamie Dempsey
Office Manager
(O)    "
Discussion,Easement,"RE: Sammamish Shores Hi Tamie,

What kind of paper work you are waiting for? Kathy already provided you the signed contract on 02/03/2021. Please see attached.

Regarding schedule, as per previous email, it was scheduled for March 8th.

We will the owner know that the access will be required.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D70BA3.894A9460]
    "
Discussion,Easement,"Re: Sammamish Shores Yes we have all the paperwork for Sammamish Shores. You were originally scheduled for March 8 and I have a different project on hold and want to move Sammamish up a week to March 1.
    "
Discussion,Easement,"RE: Sammamish Shores Alright, please provide specific date and we can let the owner also know about it.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D70C0D.A71ECA00]
    "
Discussion,Easement,"RE: Sammamish Shores I do not have exact days and times. That is why Michael wants to know if we can put a lock box on there so we can access when needed. We will be there at Sammamish Shores Monday March 1 through at least March 5th.


If you need more specifics please call Michael at Dempsey
Office Manager
(O)    "
Other,Other,"RE: Sammamish Shores We Will let you know one it is confirmed.

Kindly let us know if you have any questions. You can reach us at or call us at Kasper
[propvivo logo]
    "
HOA Demand Request,HOA Demand Request,"787861RT: Request for Updated HOA Demand Good morning,

Please find our request for an updated HOA Questionnaire attached. Please complete and email or fax back to us as soon as possible. Please email or fax you!


WARNING – FRAUDULENT FUNDING INSTRUCTIONS: Email hacking and fraud are on the rise to fraudulently misdirect funds. Please call your escrow office immediately using contact information found from an independent source, such as the sales contract or internet, to verify any funding instruction received. We are not responsible for any wires sent by you to an incorrect bank account.

This communication may provide an attached document or secure link for your review. As part of our compliance with ALTA Best Practice Rainier sends all documents that contain NPI securely through encrypted email.

The information contained in this message is proprietary and/or confidential and may be privileged. If you are not the intended recipient of this communication, you are hereby notified to:  delete the message and all copies; do not disclose, distribute or use the message in any manner; and notify the sender immediately.
    "
HOA Demand Request,Information,"RE: 787861RT: Request for Updated HOA Demand Hi Team,

Good Afternoon!

Can you please confirm if this a Rush Delivery or Normal Delivery?

The turnaround time for Rush Delivery is 24-36 hours @ $100
The turnaround time for Normal delivery is 3-5 business days at no extra cost

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Luis Nash.
propVIVO
[cid:image001.png@01D70929.ED3DFA10]
    "
HOA Demand Request,Information,"RE: 787861RT: Request for Updated HOA Demand Hi Team,

Good Afternoon!

Can you please confirm if this a Rush Delivery or Normal Delivery?

The turnaround time for Rush Delivery is 24-36 hours @ $100
The turnaround time for Normal delivery is 3-5 business days at no extra cost

Kindly let us know if you have any questions. You can reach us at or call us at logo]
    "
HOA Demand Request,Documents,"RE: 787861RT: Request for Updated HOA Demand Hi,

Please find attached the demand statement.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D709E0.434A3520]
    "
HOA Demand Request,Additional Questions,"Re: 787861RT: Request for Updated HOA Demand Hi!

We hope you are doing well!

Request you to please confirm that File # 787861RT is closed or still open?? Can we have the actual closing date if it is closed?

Also please share Buyer information with us (Name, Contact No., Email Id, Mailing address)


Kindly let us know if you have any questions. You can reach us at or call us at & Regards

Jessica

[cid:4b0f51a0-c509-4967-8a4c-148203c823df]
    "
Payment,Refund,"Re: 787861RT: Request for Updated HOA Demand Hello,

There is a prepaid balance on the seller's account. Can you send us their forwarding address for the refund?


Kindly let us know if you have any questions. You can reach us at or call us at & Regards

Nancy Adams

[cid:4019b666-4a6e-4b3a-8bcf-14fd37381ef8]
    "
Approval,Invoice,"Rock Project / Tree Removal / Landscaping Cleanup Project Invoices Dear Board,

Please find enclosed the invoices for the project completed in June  / July 2019 for the rock spreading, landscaping cleanup, tree removal etc.

Rock project will be funded from the Reserve Funds as it is one time cost.

Please request your approval so that we can process the payment.

Will sincerely appreciate your approval.

Regards,
Nitin
    "
